"WAVEL [µm]" "FLUX [Jy]" "FLUX_err [Jy]"
4.2005934715271 611.9150082009705 16.11791551772885
4.181502342224121 630.3893278626143 15.912388534701854
4.162330627441406 642.5456504719292 16.22583598199561
4.143077850341797 652.8551519829529 16.526397104194274
4.123741626739502 662.0103027479124 16.883120652338864
4.104321002960205 670.4474493649969 17.253418996862397
4.084813117980957 677.985246333486 17.62224179002669
4.065215587615967 684.4062049825808 17.97657831975873
4.045527458190918 689.5025060354147 18.300154888388793
4.025744915008545 693.3060436856687 18.584688530675677
4.005866050720215 695.9215747999782 18.81904438896897
3.9858877658843994 697.8292017171686 19.003674593608036
3.9658074378967285 699.6054767912326 19.143696335377996
3.9456217288970947 701.9187692239312 19.261036311990296
3.9253273010253906 705.2604214267269 19.377386807483838
3.904921531677246 710.163961286581 19.52589905441803
3.884399652481079 716.8344237437209 19.728981494700644
3.8637585639953613 725.2906943367262 19.998214342481614
3.842994451522827 735.1719702753537 20.31893556947988
3.8221027851104736 745.9674054205755 20.66664614117102
3.8010802268981934 757.0156856455858 21.01230725881587
3.779921770095825 767.6219786814697 21.330104543779647
3.7586233615875244 777.1271440728569 21.602204275997693
3.73717999458313 785.1259154354934 21.81934599360801
3.7155869007110596 791.525874809805 21.983166961563803
3.6938390731811523 796.9930215685763 22.113471064977844
3.671931505203247 802.6032250715836 22.240590390455456
3.6498589515686035 809.1357135274607 22.38229689953266
3.6276156902313232 816.8030511589906 22.54474248664383
3.605196475982666 825.5578916410054 22.732079795392895
3.5825953483581543 835.0257524195209 22.94255764223899
3.5598063468933105 844.811461630019 23.16429810120676
3.5368235111236572 855.0645456303192 23.40172186545315
3.5136404037475586 866.5082704987315 23.669318102358982
3.490251064300537 880.0939749757828 23.982915189498726
3.4666483402252197 896.5602272584431 24.34899063230793
3.442826271057129 915.8544583377038 24.755175976340595
3.4187774658203125 936.9159619133444 25.17324423391692
3.3944947719573975 957.492552951476 25.552223340766147
3.369971752166748 974.0491297571025 25.814307591363164
3.345200300216675 982.127294344073 25.86070503214165
3.3201732635498047 977.6939234452849 25.610972037318703
3.2948827743530273 957.377938428838 24.979322845946843
3.2693214416503906 918.3408156590103 23.87534577830293
