"WAVEL [µm]" "FLUX [Jy]" "FLUX_err [Jy]"
4.276756763458252 "" ""
4.258626937866211 "" ""
4.240274429321289 "" ""
4.2216949462890625 "" ""
4.202885627746582 "" ""
4.183843612670898 "" ""
4.164566516876221 "" ""
4.145054340362549 "" ""
4.125304698944092 "" ""
4.105319023132324 "" ""
4.08509635925293 "" ""
4.064639091491699 "" ""
4.043948173522949 56939.894755762005 6360.286555338116
4.023025989532471 58595.21779599198 6546.995200489684
4.001876354217529 59560.927460953266 6656.991550314119
3.980502128601074 59893.194657404085 6671.95608513262
3.9589080810546875 59578.780256948914 6621.358629157004
3.937098979949951 59031.16052835644 6549.234645449007
3.9150800704956055 58584.96624286694 6487.827888451736
3.892857313156128 58532.86894007946 6476.536073092482
3.87043833732605 58883.84438655512 6528.496643466283
3.847830057144165 59708.836142559885 6612.721953233019
3.825040578842163 60750.30237378009 6722.724498940508
3.8020780086517334 62040.99030879088 6880.718006376672
3.7789525985717773 63444.622924010524 7062.166678960601
3.75567364692688 65137.37186310994 7263.894496946965
3.7322516441345215 67148.88083036695 7497.008845996307
3.708698272705078 69455.66420718364 7726.321739361581
3.6850244998931885 72179.83052000508 8005.527481640445
3.661243438720703 75024.68861287023 8289.80065365099
3.6373679637908936 77197.73201806603 8516.166484126912
3.6134116649627686 79094.85882118583 8704.634358572697
3.5893890857696533 80637.81443314049 8854.0277511452
3.565314769744873 81168.01506914 8876.450376272822
3.5412042140960693 80576.03837775096 8769.9487064473
3.5170741081237793 79231.85880182263 8570.410243178916
3.492940664291382 76751.01588274263 8288.63451304095
3.4688217639923096 73067.96100844615 7899.4712339498365
3.444735288619995 68679.73581476406 7443.029311374947
3.4206998348236084 63810.868037475084 6926.961513878029
3.3967347145080566 58872.199073856966 6350.922726503647
3.3728599548339844 53680.78810686899 5727.214792600681
3.3490962982177734 48387.48385830577 5105.650705121054
3.3254644870758057 43227.2499391927 4503.229981335887
3.3019864559173584 38386.49901938285 3947.8592388713164
3.2786848545074463 33884.14283581051 3478.215784951422
3.255582571029663 30059.759697466903 3090.5054173426643
3.232703685760498 27032.61497228462 2778.6383732909235
3.2100718021392822 24414.902726522716 2505.6161571952775
3.1877124309539795 21976.9142740694 2244.155632032715
3.1656508445739746 19704.057219435705 2009.6822196713404
3.143913507461548 17557.368385936374 1798.9929595289311
3.1225271224975586 15581.305005495882 1606.1069755779808
3.1015191078186035 14029.682747141615 1456.0071242067845
3.0809171199798584 13163.107629613956 1388.031763878461
3.060750722885132 13114.273471901006 1383.4096507309894
3.041048526763916 13369.867358138863 1380.0048396566908
3.021841049194336 13096.901539985138 1310.969048606882
3.0031583309173584 11961.307793881851 1159.1519492271518
2.985031843185425 10064.78503003548 948.5948089748022
2.9674932956695557 7555.905861693409 682.7339190109778
2.950575351715088 4299.389027055362 352.9503386338233
2.9343111515045166 "" ""
2.918734073638916 "" ""
7.978868007659912 "" ""
7.984809398651123 "" ""
7.990752220153809 "" ""
7.996694087982178 "" ""
8.00263786315918 "" ""
8.008580207824707 "" ""
8.014524459838867 "" ""
8.020467758178711 "" ""
8.026412963867188 "" ""
8.032358169555664 "" ""
8.03830337524414 "" ""
8.044248580932617 "" ""
8.05019474029541 "" ""
8.056140899658203 "" ""
8.062088012695312 "" ""
8.068036079406738 "" ""
8.073984146118164 "" ""
8.07993221282959 "" ""
8.085881233215332 "" ""
8.091830253601074 "" ""
8.097779273986816 "" ""
8.103728294372559 "" ""
8.109679222106934 "" ""
8.115630149841309 "" ""
8.121581077575684 "" ""
8.127532958984375 "" ""
8.133484840393066 "" ""
8.139437675476074 "" ""
8.145389556884766 "" ""
8.151342391967773 "" ""
8.157296180725098 "" ""
8.163250923156738 "" ""
8.169204711914062 "" ""
8.175159454345703 "" ""
8.18111515045166 "" ""
8.1870698928833 "" ""
8.193026542663574 "" ""
8.198983192443848 "" ""
8.204939842224121 "" ""
8.210897445678711 "" ""
8.2168550491333 "" ""
8.222813606262207 "" ""
8.228771209716797 "" ""
8.23473072052002 "" ""
8.240690231323242 "" ""
8.246650695800781 "" ""
8.252610206604004 "" ""
8.258570671081543 "" ""
8.264532089233398 "" ""
8.270492553710938 "" ""
8.276455879211426 "" ""
8.282417297363281 "" ""
8.288379669189453 "" ""
8.294342994689941 "" ""
8.300307273864746 "" ""
8.306270599365234 "" ""
8.312234878540039 "" ""
8.318199157714844 "" ""
8.324164390563965 "" ""
8.330130577087402 "" ""
8.33609676361084 "" ""
8.342062950134277 "" ""
8.348029136657715 "" ""
8.353996276855469 "" ""
8.359964370727539 "" ""
8.36593246459961 "" ""
8.37190055847168 "" ""
8.377869606018066 "" ""
8.383838653564453 "" ""
8.389808654785156 "" ""
8.39577865600586 "" ""
8.401749610900879 "" ""
8.407719612121582 "" ""
8.413691520690918 "" ""
8.419663429260254 "" ""
8.42563533782959 "" ""
8.431608200073242 "" ""
8.437581062316895 "" ""
8.443553924560547 "" ""
8.449527740478516 "" ""
8.4555025100708 "" ""
8.46147632598877 "" ""
8.467452049255371 "" ""
8.473427772521973 "" ""
8.479403495788574 "" ""
8.485380172729492 "" ""
8.491355895996094 "" ""
8.497333526611328 "" ""
8.503311157226562 "" ""
8.509288787841797 "" ""
8.515267372131348 "" ""
8.521245956420898 "" ""
8.52722454071045 "" ""
8.533205032348633 "" ""
8.5391845703125 "" ""
8.545165061950684 "" ""
8.551145553588867 "" ""
8.557126998901367 "" ""
8.563109397888184 "" ""
8.569090843200684 "" ""
8.5750732421875 "" ""
8.581056594848633 "" ""
8.587039947509766 "" ""
8.593023300170898 "" ""
8.599007606506348 "" ""
8.604991912841797 "" ""
8.610976219177246 "" ""
8.616962432861328 "" ""
8.62294864654541 "" ""
8.628933906555176 "" ""
8.634921073913574 "" ""
8.640908241271973 "" ""
8.646895408630371 "" ""
8.65288257598877 "" ""
8.6588716506958 "" ""
8.664859771728516 "" ""
8.670848846435547 "" ""
8.676838874816895 "" ""
8.682828903198242 "" ""
8.68881893157959 "" ""
8.694808959960938 "" ""
8.700799942016602 "" ""
8.706791877746582 "" ""
8.712783813476562 "" ""
8.71877670288086 "" ""
8.72476863861084 "" ""
8.730762481689453 "" ""
8.736756324768066 "" ""
8.74275016784668 "" ""
8.748744010925293 "" ""
8.754739761352539 "" ""
8.760734558105469 "" ""
8.766730308532715 "" ""
8.772727012634277 "" ""
8.778722763061523 "" ""
8.784719467163086 "" ""
8.790717124938965 "" ""
8.796714782714844 "" ""
8.802712440490723 "" ""
8.808712005615234 "" ""
8.81471061706543 "" ""
8.820710182189941 "" ""
8.826709747314453 "" ""
8.832709312438965 "" ""
8.83871078491211 "" ""
8.844711303710938 "" ""
8.850712776184082 "" ""
8.856715202331543 "" ""
8.862717628479004 "" ""
8.868720054626465 "" ""
8.874722480773926 "" ""
8.88072681427002 "" ""
8.886730194091797 "" ""
8.89273452758789 "" ""
8.898738861083984 "" ""
8.904744148254395 "" ""
8.910749435424805 "" ""
8.916755676269531 "" ""
8.922761917114258 "" ""
8.928770065307617 "" ""
8.93477725982666 "" ""
8.940784454345703 "" ""
8.946792602539062 "" ""
8.952799797058105 "" ""
8.958808898925781 "" ""
8.964818954467773 "" ""
8.97082805633545 "" ""
8.976838111877441 "" ""
8.98284912109375 "" ""
8.988860130310059 "" ""
8.994872093200684 "" ""
9.000883102416992 "" ""
9.006895065307617 "" ""
9.012907981872559 "" ""
9.018921852111816 "" ""
9.024933815002441 "" ""
9.030948638916016 "" ""
9.036962509155273 "" ""
9.042976379394531 "" ""
9.048992156982422 "" ""
9.055007934570312 "" ""
9.061023712158203 "" ""
9.06704044342041 "" ""
9.0730562210083 "" ""
9.079073905944824 "" ""
9.085090637207031 "" ""
9.091109275817871 "" ""
9.097126960754395 "" ""
9.10314655303955 "" ""
9.10916519165039 "" ""
9.115184783935547 "" ""
9.12120532989502 "" ""
9.127225875854492 "" ""
9.133246421813965 "" ""
9.139267921447754 "" ""
9.145289421081543 "" ""
9.151310920715332 "" ""
9.157333374023438 "" ""
9.16335678100586 "" ""
9.169380187988281 "" ""
9.175403594970703 "" ""
9.181427955627441 "" ""
9.18745231628418 "" ""
9.193476676940918 "" ""
9.199502944946289 "" ""
9.20552921295166 "" ""
9.211555480957031 "" ""
9.217581748962402 "" ""
9.22360897064209 "" ""
9.229636192321777 "" ""
9.235664367675781 "" ""
9.241692543029785 "" ""
9.247720718383789 "" ""
9.253748893737793 "" ""
9.25977897644043 "" ""
9.265809059143066 "" ""
9.271839141845703 "" ""
9.277870178222656 "" ""
9.28390121459961 "" ""
9.289932250976562 "" ""
9.295964241027832 "" ""
9.301997184753418 "" ""
9.308030128479004 "" ""
9.31406307220459 "" ""
9.320096969604492 "" ""
9.326130867004395 "" ""
9.332164764404297 "" ""
9.338200569152832 "" ""
9.34423542022705 "" ""
9.350271224975586 "" ""
9.356307983398438 "" ""
9.362343788146973 "" ""
9.36838150024414 "" ""
9.374418258666992 "" ""
9.38045597076416 "" ""
9.386493682861328 "" ""
9.392532348632812 "" ""
9.398571968078613 "" ""
9.404610633850098 "" ""
9.410651206970215 "" ""
9.416690826416016 "" ""
9.422731399536133 "" ""
9.428772926330566 "" ""
9.434814453125 "" ""
9.440855979919434 "" ""
9.446898460388184 "" ""
9.452940940856934 "" ""
9.458984375 "" ""
9.465027809143066 "" ""
9.471071243286133 "" ""
9.477115631103516 "" ""
9.483160018920898 "" ""
9.489205360412598 "" ""
9.495250701904297 "" ""
9.501296997070312 "" ""
9.507343292236328 "" ""
9.51339054107666 "" ""
9.519437789916992 "" ""
9.525485038757324 "" ""
9.531533241271973 "" ""
9.537581443786621 "" ""
9.543630599975586 "" ""
9.549680709838867 "" ""
9.555729866027832 "" ""
9.561779975891113 "" ""
9.567831039428711 "" ""
9.573881149291992 "" ""
9.579933166503906 "" ""
9.58598518371582 "" ""
9.592037200927734 "" ""
9.598089218139648 "" ""
9.604142189025879 "" ""
9.610196113586426 "" ""
9.616250038146973 "" ""
9.62230396270752 "" ""
9.628358840942383 "" ""
9.634413719177246 "" ""
9.640469551086426 "" ""
9.646525382995605 "" ""
9.652582168579102 "" ""
9.658638000488281 "" ""
9.664695739746094 "" ""
9.67075252532959 "" ""
9.676811218261719 "" ""
9.682868957519531 "" ""
9.68892765045166 "" ""
9.694987297058105 "" ""
9.70104694366455 "" ""
9.707106590270996 "" ""
9.713168144226074 "" ""
9.71922779083252 "" ""
9.725289344787598 "" ""
9.731351852416992 "" ""
9.73741340637207 "" ""
9.743475914001465 "" ""
9.74953842163086 "" ""
9.75560188293457 "" ""
9.761665344238281 "" ""
9.767730712890625 "" ""
9.773795127868652 "" ""
9.77985954284668 "" ""
9.785924911499023 "" ""
9.791991233825684 "" ""
9.798056602478027 "" ""
9.804123878479004 "" ""
9.81019115447998 "" ""
9.816258430480957 "" ""
9.82232666015625 "" ""
9.828394889831543 "" ""
9.83446216583252 "" ""
9.840531349182129 "" ""
9.846601486206055 "" ""
9.85267162322998 "" ""
9.858741760253906 "" ""
9.864812850952148 "" ""
9.870882987976074 "" ""
9.876955032348633 "" ""
9.883027076721191 "" ""
9.889100074768066 "" ""
9.895172119140625 "" ""
9.901246070861816 "" ""
9.907319068908691 "" ""
9.913393020629883 "" ""
9.91946792602539 "" ""
9.925542831420898 "" ""
9.931617736816406 "" ""
9.93769359588623 "" ""
9.943770408630371 "" ""
9.949846267700195 "" ""
9.955923080444336 "" ""
9.962000846862793 "" ""
9.96807861328125 "" ""
9.974156379699707 "" ""
9.98023509979248 "" ""
9.98631477355957 "" ""
9.992393493652344 "" ""
9.998473167419434 "" ""
10.00455379486084 "" ""
10.010634422302246 "" ""
10.016715049743652 "" ""
10.022797584533691 "" ""
10.028879165649414 "" ""
10.034960746765137 "" ""
10.041043281555176 "" ""
10.047126770019531 "" ""
10.053210258483887 "" ""
10.059294700622559 "" ""
10.06537914276123 "" ""
10.071463584899902 "" ""
10.07754898071289 "" ""
10.083634376525879 "" ""
10.089720726013184 "" ""
10.095807075500488 "" ""
10.101893424987793 "" ""
10.107980728149414 "" ""
